visit,ts,app_state
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411870,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411905,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411926,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411928,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412289,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412290,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412293,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412297,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412314,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412344,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412603,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412608,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412609,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412639,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412669,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412699,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412729,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412750,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412754,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412789,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412816,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412819,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412849,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412879,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412909,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412938,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412941,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412955,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602412990,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413000,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413020,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413040,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413042,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413073,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413074,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413085,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602413101,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414121,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414124,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414126,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414129,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414130,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414140,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414151,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414152,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414182,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414207,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414209,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414211,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414218,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414252,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414271,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414272,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414277,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414278,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414343,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414373,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414403,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414433,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414463,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414466,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414467,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414470,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414476,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414506,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414541,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414572,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414601,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414631,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414641,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414642,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414646,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414681,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414711,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414737,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414738,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414763,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414764,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414796,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414826,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414856,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414880,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414948,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414964,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414967,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414970,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414975,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414976,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414977,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414978,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414989,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414993,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602414994,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602415008,
